uid,language,utterance,utterance_stripped,begin,end,participant,duration,FTO,overlap,nature,nchar,n,freq,rank,streak
dutch-04-511-629769,dutch,nee [laugh],nee,629769,631416,spreker2 [v] (TIE2),1647,-785,partial,talk,3,9041,1.4064268398529449e-6,2,4
dutch-04-588-736157,dutch,ja,ja,736157,736617,spreker2 [v] (TIE2),460,145,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-04-590-737688,dutch,ja,ja,737688,737930,spreker2 [v] (TIE2),242,-795,full,talk,2,77862,1.2112289194185375e-5,1,3
dutch-04-603-751367,dutch,ja,ja,751367,751793,spreker1 [v] (TIE0),426,104,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-04-604-752173,dutch,ja,ja,752173,752506,spreker1 [v] (TIE0),333,NA,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-04-605-752760,dutch,ja,ja,752760,753082,spreker1 [v] (TIE0),322,NA,NA,talk,2,77862,1.2112289194185375e-5,1,4
dutch-04-658-821444,dutch,ja,ja,821444,821836,spreker2 [v] (TIE2),392,-150,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-04-660-822929,dutch,ja,ja,822929,823332,spreker2 [v] (TIE2),403,57,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-04-680-855747,dutch,ja,ja,855747,856173,spreker1 [v] (TIE0),426,23,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-04-687-862287,dutch,ja,ja,862287,862586,spreker1 [v] (TIE0),299,-438,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-04-688-862989,dutch,ja,ja,862989,863300,spreker1 [v] (TIE0),311,264,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-04-698-874700,dutch,ja,ja,874700,875012,spreker2 [v] (TIE2),312,-278,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-05-072-89779,dutch,ja,ja,89779,89993,spreker2 [v] (TIE2),214,NA,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-05-125-154424,dutch,ja,ja,154424,154682.00000000003,spreker2 [v] (TIE2),258.0000000000291,382,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-05-152-186223,dutch,ja,ja,186223,186403,spreker2 [v] (TIE2),180,NA,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-05-154-187453,dutch,ja,ja,187453,187769,spreker2 [v] (TIE2),316,113,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-05-165-199305,dutch,ja,ja,199305,199519,spreker2 [v] (TIE2),214,587,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-05-193-228069,dutch,ja,ja,228069.00000000003,228464,spreker2 [v] (TIE2),394.9999999999709,181.0000000000291,full,talk,2,77862,1.2112289194185375e-5,1,2
