uid,language,utterance,utterance_stripped,begin,end,participant,duration,FTO,overlap,nature,nchar,n,freq,rank,streak
dutch-11-400-466511,dutch,ja,ja,466511,466765,spreker2 [v] (TIE2),254,-1650,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-402-469350,dutch,ja,ja,469350,469650,spreker2 [v] (TIE2),300,-150,partial,talk,2,77862,1.2112289194185375e-5,1,3
dutch-11-432-505562,dutch,ja,ja,505562,505919,spreker2 [v] (TIE2),357,-392,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-434-506612,dutch,ja,ja,506612,507212,spreker2 [v] (TIE2),600,658,full,talk,2,77862,1.2112289194185375e-5,1,3
dutch-11-450-530264,dutch,ja,ja,530264,530587,spreker2 [v] (TIE2),323,-415,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-462-546589,dutch,ja,ja,546589,546889,spreker2 [v] (TIE2),300,-462,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-464-547524,dutch,ja,ja,547524,547858,spreker2 [v] (TIE2),334,-1200,full,talk,2,77862,1.2112289194185375e-5,1,3
dutch-11-465-548458,dutch,ja,ja,548458,548735,spreker2 [v] (TIE2),277,-266,NA,talk,2,77862,1.2112289194185375e-5,1,4
dutch-11-502-590389,dutch,ja,ja,590389,590678,spreker2 [v] (TIE2),289,-300,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-503-591670,dutch,ja,ja,591670,592005,spreker2 [v] (TIE2),335,981,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-11-539-637233,dutch,nee,nee,637233,637810,spreker1 [v] (TIE0),577,-485,NA,talk,3,9041,1.4064268398529449e-6,2,2
dutch-11-583-693999,dutch,ja,ja,693999,694206,spreker2 [v] (TIE2),207,-565,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-597-711254,dutch,ja,ja,711254,711542,spreker1 [v] (TIE0),288,-669,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-599-712892,dutch,ja,ja,712892,713262,spreker1 [v] (TIE0),370,-162,partial,talk,2,77862,1.2112289194185375e-5,1,3
dutch-11-605-719973,dutch,nee,nee,719973,720388,spreker2 [v] (TIE2),415,-196,partial,talk,3,9041,1.4064268398529449e-6,2,2
dutch-11-637-752436,dutch,ja,ja,752436,752713,spreker1 [v] (TIE0),277,34,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-639-753925,dutch,ja,ja,753925,754236,spreker1 [v] (TIE0),311,35,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-11-642-758414,dutch,ja,ja,758414,758864,spreker2 [v] (TIE2),450,-23,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-678-798373,dutch,ja,ja,798373,798788,spreker1 [v] (TIE0),415,-58,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-750-889954,dutch,hum,hum,889954,890372,spreker1 [v] (TIE0),418,203,full,talk,3,747,1.1620405368544957e-7,27,2
dutch-12-063-88783,dutch,ja,ja,88783,88985,spreker2 [v] (TIE2),202,154,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-12-065-90841,dutch,[laugh] ja,ja,90841,91316,spreker2 [v] (TIE2),474.99999999998545,-653.9999999999854,full,talk,2,77862,1.2112289194185375e-5,1,3
dutch-12-066-91316,dutch,ja,ja,91316,91745,spreker2 [v] (TIE2),429,-179,NA,talk,2,77862,1.2112289194185375e-5,1,4
dutch-12-086-123504,dutch,ja,ja,123504,123778,spreker1 [v] (TIE0),274,602,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-12-098-138392,dutch,ja,ja,138392,138987,spreker2 [v] (TIE2),595,-298,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-12-103-143146,dutch,oké [laugh],oké,143146.00000000003,144775,spreker1 [v] (TIE0),1628.999999999971,119.0000000000291,NA,talk,3,89,1.3844927413661329e-8,124,2
dutch-12-117-163491,dutch,ja,ja,163491,164192.99999999997,spreker1 [v] (TIE0),701.9999999999709,-393,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-12-163-225346,dutch,ja,ja,225346,225572,spreker1 [v] (TIE0),226,346,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-12-165-226751,dutch,ja,ja,226751,226953,spreker1 [v] (TIE0),202,119,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-12-186-256612,dutch,ja,ja,256612.00000000003,256839,spreker1 [v] (TIE0),226.9999999999709,-750.9999999999709,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-12-187-257482,dutch,ja,ja,257481.99999999997,257660.00000000003,spreker1 [v] (TIE0),178.0000000000582,118.9999999999709,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-12-189-258994,dutch,ja,ja,258994.00000000003,259589,spreker1 [v] (TIE0),594.9999999999709,83.0000000000291,NA,talk,2,77862,1.2112289194185375e-5,1,4
dutch-12-191-261280,dutch,ja,ja,261279.99999999997,261637.99999999997,spreker1 [v] (TIE0),358,202,NA,talk,2,77862,1.2112289194185375e-5,1,5
dutch-12-193-262316,dutch,ja,ja,262316,262566,spreker1 [v] (TIE0),250,107,NA,talk,2,77862,1.2112289194185375e-5,1,6
dutch-12-228-303049,dutch,ja,ja,303049,303382,spreker2 [v] (TIE2),333,357,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-12-243-321085,dutch,ja,ja,321085,321240,spreker1 [v] (TIE0),155,286,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-12-248-325927,dutch,ja,ja,325927,326154,spreker1 [v] (TIE0),227,166,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-12-251-329809,dutch,ja,ja,329809,330047,spreker1 [v] (TIE0),238,131,NA,talk,2,77862,1.2112289194185375e-5,1,4
dutch-12-265-349921,dutch,oké,oké,349921,350433,spreker1 [v] (TIE0),512,370,NA,talk,3,89,1.3844927413661329e-8,124,2
dutch-12-270-356732,dutch,ja,ja,356732,356947,spreker1 [v] (TIE0),215,12,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-12-272-359400,dutch,ja,ja,359400,359543,spreker1 [v] (TIE0),143,215,NA,talk,2,77862,1.2112289194185375e-5,1,4
dutch-12-281-368636,dutch,ja,ja,368636,368934,spreker1 [v] (TIE0),298,393,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-12-331-433071,dutch,ja,ja,433071,433273,spreker1 [v] (TIE0),202,-47,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-12-342-445986,dutch,hum,hum,445986,446427,spreker1 [v] (TIE0),441,35,NA,talk,3,747,1.1620405368544957e-7,27,2
dutch-12-368-472261,dutch,ja,ja,472261,472761,spreker2 [v] (TIE2),500,12,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-12-371-474309,dutch,ja,ja,474308.99999999994,474571,spreker2 [v] (TIE2),262.0000000000582,142.9999999999418,full,talk,2,77862,1.2112289194185375e-5,1,3
dutch-12-372-475810,dutch,ja,ja,475810,476108,spreker2 [v] (TIE2),298,-310,full,talk,2,77862,1.2112289194185375e-5,1,4
dutch-12-430-543705,dutch,ja,ja,543705,544086,spreker2 [v] (TIE2),381,262,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-12-433-545849,dutch,ja,ja,545849,546206,spreker2 [v] (TIE2),357,-274,partial,talk,2,77862,1.2112289194185375e-5,1,3
dutch-12-435-546908,dutch,ja,ja,546908,547206,spreker2 [v] (TIE2),298,-48,partial,talk,2,77862,1.2112289194185375e-5,1,4
dutch-12-439-550076,dutch,ja,ja,550076,550266,spreker1 [v] (TIE0),190,-167,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-12-441-550671,dutch,ja,ja,550671,550862,spreker1 [v] (TIE0),191,-167,partial,talk,2,77862,1.2112289194185375e-5,1,3
dutch-12-451-562695,dutch,ja,ja,562695,563076,spreker1 [v] (TIE0),381,774,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-12-478-594101,dutch,ja,ja,594101,594375,spreker1 [v] (TIE0),274,-382,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-12-481-598412,dutch,ja,ja,598412,598579,spreker1 [v] (TIE0),167,143,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-12-484-602885,dutch,ja,ja,602885,603123,spreker1 [v] (TIE0),238,178,NA,talk,2,77862,1.2112289194185375e-5,1,4
dutch-12-496-617789,dutch,ja,ja,617789,618202,spreker1 [v] (TIE0),413,-378,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-12-504-625596,dutch,ja,ja,625596,626422,spreker1 [v] (TIE0),826,-265,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-12-507-628424,dutch,ja,ja,628424,628621,spreker1 [v] (TIE0),197,186,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-12-509-629723,dutch,ja,ja,629723,630170,spreker1 [v] (TIE0),447,-103,partial,talk,2,77862,1.2112289194185375e-5,1,4
dutch-12-511-631684,dutch,ja,ja,631684,632372,spreker1 [v] (TIE0),688,515,NA,talk,2,77862,1.2112289194185375e-5,1,5
dutch-12-521-643895,dutch,ja,ja,643895,644162,spreker2 [v] (TIE2),267,-163,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-12-524-645862,dutch,ja,ja,645862,646163,spreker2 [v] (TIE2),301,0,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-12-526-647589,dutch,ja,ja,647589,647891,spreker2 [v] (TIE2),302,-37,partial,talk,2,77862,1.2112289194185375e-5,1,4
dutch-12-528-649305,dutch,ja,ja,649305,649630,spreker2 [v] (TIE2),325,845.9999999998836,NA,talk,2,77862,1.2112289194185375e-5,1,5
dutch-12-553-673884,dutch,ja,ja,673884,674139,spreker1 [v] (TIE0),255,162,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-12-555-675067,dutch,ja,ja,675067,675253,spreker1 [v] (TIE0),186,116,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-12-570-694114,dutch,hum,hum,694114,694601,spreker2 [v] (TIE2),487,-1426,full,talk,3,747,1.1620405368544957e-7,27,2
dutch-12-579-706361,dutch,hum,hum,706361,706685,spreker2 [v] (TIE2),324,70.00000000011642,NA,talk,3,747,1.1620405368544957e-7,27,2
dutch-12-627-770332,dutch,ja,ja,770332,770818,spreker2 [v] (TIE2),486,-1460,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-12-690-838448,dutch,ja,ja,838448,838668,spreker1 [v] (TIE0),220,-23,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-12-692-839897,dutch,ja,ja,839897,840129,spreker1 [v] (TIE0),232,104,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-12-695-844302,dutch,ja,ja,844302,844500,spreker1 [v] (TIE0),198,-777,full,talk,2,77862,1.2112289194185375e-5,1,4
dutch-12-697-846644,dutch,ja,ja,846644,846911,spreker1 [v] (TIE0),267,-580,full,talk,2,77862,1.2112289194185375e-5,1,5
dutch-12-699-847711,dutch,ja,ja,847711,847931,spreker1 [v] (TIE0),220,-1159,full,talk,2,77862,1.2112289194185375e-5,1,6
dutch-12-700-848684,dutch,ja,ja,848684,848847,spreker1 [v] (TIE0),163,-186,full,talk,2,77862,1.2112289194185375e-5,1,7
dutch-12-740-895321,dutch,ja,ja,895321,895540.9999999999,spreker1 [v] (TIE0),219.9999999998836,406,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-12-742-896306,dutch,ja,ja,896306,896561,spreker1 [v] (TIE0),255,-197,partial,talk,2,77862,1.2112289194185375e-5,1,3
dutch-13-096-125037,dutch,ja,ja,125037,125480,spreker1 [v] (TIE0),443,946,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-13-099-130845,dutch,ja,ja,130845,131118,spreker1 [v] (TIE0),273,443.00000000001455,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-13-177-227358,dutch,ja,ja,227358,227478.99999999997,spreker1 [v] (TIE0),120.9999999999709,-297,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-13-223-282144,dutch,hum,hum,282144,282453,spreker2 [v] (TIE2),309,705,NA,talk,3,747,1.1620405368544957e-7,27,2
dutch-13-352-455920,dutch,ja,ja,455920,456193,spreker1 [v] (TIE0),273,-1552,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-13-393-511027,dutch,ja,ja,511027,511254,spreker2 [v] (TIE2),227,NA,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-13-422-553755,dutch,ja,ja,553755,554037,spreker2 [v] (TIE2),282,NA,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-13-439-573292,dutch,ja,ja,573292,573563,spreker2 [v] (TIE2),271,384,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-13-441-576544,dutch,ja,ja,576544,576849,spreker2 [v] (TIE2),305,-237,partial,talk,2,77862,1.2112289194185375e-5,1,3
dutch-13-442-577053,dutch,ja,ja,577053,577324,spreker2 [v] (TIE2),271,NA,NA,talk,2,77862,1.2112289194185375e-5,1,4
dutch-13-443-578318,dutch,[laugh] ja,ja,578318,580235,spreker2 [v] (TIE2),1917,NA,NA,talk,2,77862,1.2112289194185375e-5,1,5
dutch-13-461-602958,dutch,ja,ja,602958,603331,spreker1 [v] (TIE0),373,-1893,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-13-468-615093,dutch,ja,ja,615093,615262,spreker1 [v] (TIE0),169,34,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-13-470-615987,dutch,ja,ja,615987,616404,spreker1 [v] (TIE0),417,928,full,talk,2,77862,1.2112289194185375e-5,1,4
dutch-13-518-680146,dutch,ja,ja,680146,680541,spreker1 [v] (TIE0),395,273,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-13-523-684906,dutch,ja,ja,684906,685120,spreker1 [v] (TIE0),214,189,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-13-550-720678,dutch,ja,ja,720678,720949,spreker2 [v] (TIE2),271,NA,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-13-556-729282,dutch,ja,ja,729282,729824,spreker1 [v] (TIE0),542,-1333,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-13-557-730965,dutch,ja,ja,730965,731191,spreker1 [v] (TIE0),226,350,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-13-567-742974,dutch,ja,ja,742974,743166,spreker1 [v] (TIE0),192,163,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-13-631-830067,dutch,ja,ja,830067,830268,spreker1 [v] (TIE0),201,374,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-13-634-831537,dutch,ja,ja,831537,831837,spreker1 [v] (TIE0),300,197,full,talk,2,77862,1.2112289194185375e-5,1,3
dutch-13-637-835269,dutch,ja,ja,835269,835536,spreker1 [v] (TIE0),267,241,NA,talk,2,77862,1.2112289194185375e-5,1,4
dutch-13-641-841612,dutch,ja,ja,841612,841857,spreker1 [v] (TIE0),245,-20,partial,talk,2,77862,1.2112289194185375e-5,1,5
dutch-13-654-855360,dutch,ja,ja,855360,855649,spreker1 [v] (TIE0),289,-379,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-13-677-884780,dutch,ja,ja,884780,885069,spreker1 [v] (TIE0),289,167,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-14-010-15556,dutch,leuk,leuk,15556,15954,spreker1 [v] (TIE0),398,-92,NA,talk,4,246,3.8268001615288617e-8,58,2
dutch-14-029-31737,dutch,ja,ja,31737,32293.999999999996,spreker2 [v] (TIE2),556.9999999999964,-193,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-14-122-145833,dutch,ja,ja,145833,146357,spreker1 [v] (TIE0),524,-386,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-14-128-153648,dutch,ja,ja,153648,154035,spreker1 [v] (TIE0),387,1,full,talk,2,77862,1.2112289194185375e-5,1,3
dutch-14-244-306326,dutch,ja,ja,306326,306709,spreker1 [v] (TIE0),383,-34,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-14-304-374676,dutch,ja,ja,374676,374991,spreker1 [v] (TIE0),315,-1599,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-14-351-422661,dutch,ja?,ja?,422661,423161,spreker2 [v] (TIE2),500,0,NA,talk,3,69,1.0733707770141928e-8,139,2
dutch-14-470-561026,dutch,ja,ja,561026,561285,spreker1 [v] (TIE0),259,-11,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-14-472-562028,dutch,ja,ja,562028,562344,spreker1 [v] (TIE0),316,202,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-14-479-572359,dutch,nee,nee,572359,572629,spreker1 [v] (TIE0),270,293,NA,talk,3,9041,1.4064268398529449e-6,2,2
dutch-14-541-643309,dutch,dat is heel makkelijk,dat is heel makkelijk,643309,644488,spreker2 [v] (TIE2),1179,-1269,full,talk,21,2,3.111219643519399e-10,204,2
dutch-14-664-785407,dutch,ja,ja,785407,785740,spreker1 [v] (TIE0),333,-35,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-14-666-787040,dutch,ja,ja,787040,787281,spreker1 [v] (TIE0),241,58,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-15-011-18386,dutch,ja ja,ja ja,18386,18944,spreker1 [v] (TIE0),558,697,NA,talk,5,7128,1.108838680950314e-6,4,2
dutch-15-034-39906,dutch,ja,ja,39906,40289,spreker1 [v] (TIE0),383,-267,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-044-50064,dutch,ja,ja,50064,50505,spreker2 [v] (TIE2),441,NA,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-057-68989,dutch,ja,ja,68989,69268,spreker1 [v] (TIE0),279,-291,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-059-69745,dutch,ja,ja,69745,69930,spreker1 [v] (TIE0),185,-441,full,talk,2,77862,1.2112289194185375e-5,1,3
dutch-15-062-72800,dutch,ja ja,ja ja,72800,73299,spreker1 [v] (TIE0),499,47,NA,talk,5,7128,1.108838680950314e-6,4,4
dutch-15-069-83089,dutch,ja ja,ja ja,83089,83588,spreker1 [v] (TIE0),499,-383.00000000001455,partial,talk,5,7128,1.108838680950314e-6,4,5
dutch-15-092-108562,dutch,ja,ja,108562,108899,spreker1 [v] (TIE0),337,-268,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-098-116446,dutch,ja,ja,116446,116772,spreker1 [v] (TIE0),325.99999999998545,-1033.9999999999854,full,talk,2,77862,1.2112289194185375e-5,1,3
dutch-15-099-117062,dutch,ja,ja,117062,117399,spreker1 [v] (TIE0),337,-417.99999999998545,full,talk,2,77862,1.2112289194185375e-5,1,4
dutch-15-117-137333,dutch,ja,ja,137333,137740,spreker1 [v] (TIE0),407,-326,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-119-140249,dutch,ja,ja,140249,140644,spreker1 [v] (TIE0),395,-755,full,talk,2,77862,1.2112289194185375e-5,1,3
dutch-15-146-171099,dutch,ja,ja,171099,171355,spreker1 [v] (TIE0),256,69,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-153-176978,dutch,ja,ja,176978,177268,spreker1 [v] (TIE0),290,99,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-165-188429,dutch,ja,ja,188429,188812,spreker1 [v] (TIE0),383,-441,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-182-208470,dutch,nee,nee,208470,208795.00000000003,spreker1 [v] (TIE0),325.0000000000291,-34,partial,talk,3,9041,1.4064268398529449e-6,2,2
dutch-15-202-231882,dutch,ja,ja,231882,232161,spreker1 [v] (TIE0),279,-267,partial,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-204-235089,dutch,ja,ja,235089,235437,spreker1 [v] (TIE0),348,535,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-15-213-249402,dutch,nee,nee,249402,249750,spreker1 [v] (TIE0),348,-476,full,talk,3,9041,1.4064268398529449e-6,2,4
dutch-15-214-250122,dutch,nee,nee,250122,250482,spreker1 [v] (TIE0),360,244,NA,talk,3,9041,1.4064268398529449e-6,2,5
dutch-15-217-252113,dutch,ja,ja,252113,252369,spreker1 [v] (TIE0),256,58,NA,talk,2,77862,1.2112289194185375e-5,1,6
dutch-15-219-253031,dutch,ja,ja,253031,253264,spreker1 [v] (TIE0),233,-186,partial,talk,2,77862,1.2112289194185375e-5,1,7
dutch-15-221-254437,dutch,ja,ja,254437,254785,spreker1 [v] (TIE0),348,58,NA,talk,2,77862,1.2112289194185375e-5,1,8
dutch-15-231-267414,dutch,ja,ja,267414,267669,spreker1 [v] (TIE0),255,-209,partial,talk,2,77862,1.2112289194185375e-5,1,9
dutch-15-232-268320,dutch,ja,ja,268320,268587,spreker1 [v] (TIE0),267,NA,NA,talk,2,77862,1.2112289194185375e-5,1,10
dutch-15-243-282641,dutch,ja,ja,282641,283001,spreker1 [v] (TIE0),360,163,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-244-283001,dutch,ja,ja,283001,283582,spreker1 [v] (TIE0),581,-883,full,talk,2,77862,1.2112289194185375e-5,1,3
dutch-15-259-307654,dutch,hum hum,hum hum,307654,308049,spreker2 [v] (TIE2),395,-81,partial,talk,7,98,1.5244976253245058e-8,115,2
dutch-15-271-322787,dutch,hum,hum,322787,323205,spreker1 [v] (TIE0),418,-545.9999999999418,full,talk,3,747,1.1620405368544957e-7,27,2
dutch-15-276-328715,dutch,hum,hum,328715,329133,spreker1 [v] (TIE0),418,93,partial,talk,3,747,1.1620405368544957e-7,27,3
dutch-15-289-354530,dutch,ja,ja,354530,355030,spreker1 [v] (TIE0),500,-232,partial,talk,2,77862,1.2112289194185375e-5,1,4
dutch-15-291-355030,dutch,ja,ja,355030,355308,spreker1 [v] (TIE0),278,-1184,full,talk,2,77862,1.2112289194185375e-5,1,5
dutch-15-306-372127,dutch,ja,ja,372127,372452,spreker1 [v] (TIE0),325,32,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-309-375228,dutch,ja,ja,375228,375577,spreker1 [v] (TIE0),349,-779,full,talk,2,77862,1.2112289194185375e-5,1,3
dutch-15-315-381095,dutch,ja,ja,381095,381490,spreker1 [v] (TIE0),395,-182,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-320-383961,dutch,ja,ja,383961,384297,spreker1 [v] (TIE0),336,-174,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-330-399686,dutch,ja,ja,399686,399965.00000000006,spreker2 [v] (TIE2),279.0000000000582,127.0000000000582,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-343-413340,dutch,ja,ja,413340.00000000006,413596,spreker1 [v] (TIE0),255.9999999999418,93.0000000000582,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-346-418034,dutch,ja,ja,418034,418452,spreker1 [v] (TIE0),418,-453,full,talk,2,77862,1.2112289194185375e-5,1,3
dutch-15-355-428025,dutch,ja,ja,428025,428234,spreker1 [v] (TIE0),209,535,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-356-429480,dutch,ja,ja,429480,429829,spreker1 [v] (TIE0),349,-325,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-15-358-431025,dutch,ja,ja,431025,431327,spreker1 [v] (TIE0),302,-12,partial,talk,2,77862,1.2112289194185375e-5,1,4
dutch-15-384-458950,dutch,ja,ja,458950,459275,spreker1 [v] (TIE0),325,-558,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-410-489884,dutch,[laugh] ja,ja,489884,491371,spreker1 [v] (TIE0),1487,-952,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-418-497282,dutch,ja,ja,497282,497619,spreker1 [v] (TIE0),337,-453,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-426-506399,dutch,ja,ja,506399,506655,spreker2 [v] (TIE2),256,0,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-433-512734,dutch,ja,ja,512734.00000000006,513094.00000000006,spreker1 [v] (TIE0),360,-33.99999999994179,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-436-514662,dutch,ja,ja,514662.00000000006,515034,spreker1 [v] (TIE0),371.9999999999418,-1591.9999999999418,full,talk,2,77862,1.2112289194185375e-5,1,3
dutch-15-437-516288,dutch,ja,ja,516288,516509,spreker1 [v] (TIE0),221,34,NA,talk,2,77862,1.2112289194185375e-5,1,4
dutch-15-444-522719,dutch,ja,ja,522719.00000000006,523126,spreker1 [v] (TIE0),406.9999999999418,-464.9999999998836,full,talk,2,77862,1.2112289194185375e-5,1,5
dutch-15-451-530652,dutch,ja,ja,530652,530966,spreker1 [v] (TIE0),314,-302,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-525-630807,dutch,ja,ja,630807,631168,spreker1 [v] (TIE0),361,-535,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-527-631971,dutch,ja,ja,631971,632285,spreker1 [v] (TIE0),314,-488.0000000001164,full,talk,2,77862,1.2112289194185375e-5,1,3
dutch-15-555-663554,dutch,ja,ja,663554,663821,spreker1 [v] (TIE0),267,47,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-558-667241,dutch,ja,ja,667241,667555,spreker1 [v] (TIE0),314,559,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-15-572-682963,dutch,ja,ja,682963,683254,spreker2 [v] (TIE2),291,-791,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-578-689268,dutch,ja,ja,689268,689594,spreker1 [v] (TIE0),326,70,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-594-708503,dutch,ja,ja,708503,708771,spreker1 [v] (TIE0),268,116,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-600-717321,dutch,ja,ja,717321,717577,spreker1 [v] (TIE0),256,-558,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-602-719042,dutch,ja,ja,719042,719333,spreker1 [v] (TIE0),291,-775,full,talk,2,77862,1.2112289194185375e-5,1,3
dutch-15-612-730685,dutch,nee,nee,730685,731313,spreker2 [v] (TIE2),628,35,full,talk,3,9041,1.4064268398529449e-6,2,2
dutch-15-629-750443,dutch,ja,ja,750443,750723,spreker1 [v] (TIE0),280,-501,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-631-752758,dutch,ja,ja,752758,753014,spreker1 [v] (TIE0),256,-70,partial,talk,2,77862,1.2112289194185375e-5,1,3
dutch-15-635-755980,dutch,ja,ja,755980,756224,spreker1 [v] (TIE0),244,-1501,full,talk,2,77862,1.2112289194185375e-5,1,4
dutch-15-636-757364,dutch,ja,ja,757364,757620,spreker1 [v] (TIE0),256,-117,NA,talk,2,77862,1.2112289194185375e-5,1,5
dutch-15-639-759629,dutch,ja,ja,759629,759850,spreker1 [v] (TIE0),221,-570,full,talk,2,77862,1.2112289194185375e-5,1,6
dutch-15-641-762502,dutch,ja,ja,762502,762746,spreker1 [v] (TIE0),244,210,NA,talk,2,77862,1.2112289194185375e-5,1,7
dutch-15-643-763735,dutch,ja,ja,763735,763967,spreker1 [v] (TIE0),232,-1128,full,talk,2,77862,1.2112289194185375e-5,1,8
dutch-15-645-766631,dutch,ja,ja,766631,766957,spreker1 [v] (TIE0),326,303,NA,talk,2,77862,1.2112289194185375e-5,1,9
dutch-15-654-777247,dutch,ja,ja,777247,777573,spreker1 [v] (TIE0),326,NA,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-15-671-803431,dutch,ja,ja,803431,803676,spreker2 [v] (TIE2),245,70,NA,talk,2,77862,1.2112289194185375e-5,1,2
